id;nom;vie;classe_armure;perception_passive;bonus_maitrise;initiative;bonus_attaque_cac;bonus_attaque_distance;force;dexterite;constitution;intelligence;sagesse;charisme;modificateur_force;modificateur_dexterite;modificateur_constitution;modificateur_charisme;modificateur_intelligence;modificateur_sagesse
1;auxiliary efficient;80637;85933;96495;85151;74008;96243;76498;9749;23192;86358;49703;51343;53210;18293;89215;22554;18714;70366;1467
2;Consultant yellow Steel;7227;27346;40136;93797;25304;50666;78794;91802;72009;73409;32410;45262;68570;2962;23691;98073;68716;98516;12987
3;Officer Investment Account Savings Account;38766;69279;84126;44741;10770;83646;67997;42864;72200;19484;30025;33711;16895;14165;48179;88200;44070;2511;82487
4;deliverables bypassing;16833;47435;65459;19288;47763;14007;89305;1545;25411;6784;45737;54803;16418;70155;56159;68725;1672;96548;97605
5;alarm Automotive Silver;62291;72122;31705;93259;25095;61678;56506;59094;26847;90534;46660;15090;8874;32167;68179;91177;48957;72400;62145
6;static Lead Home Loan Account;29665;92915;92278;87754;81481;86065;64441;18506;3574;84015;45698;25450;68468;20239;22898;43092;84301;41410;14490
7;sensor;60558;13319;37877;43092;34343;33511;21321;1865;29623;69868;37965;49154;95895;95634;13780;29804;30187;67625;69102
8;Incredible;21327;12301;92697;24099;31989;7822;72692;29835;24488;66201;40158;83493;13770;36963;95850;89324;2778;85360;85388
9;SAS;55467;21675;46736;9205;75787;11460;43308;46371;32167;41086;89302;16579;83872;87323;87983;18821;33109;23011;48517
10;Armenian Dram;96655;27972;94224;79430;54383;2733;57597;94099;9951;57343;16792;70821;16094;1012;58778;28156;68023;57744;97779
